,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
3,203914,Gary Harris,Gary,1610612743,DEN,23.0,67,37,30,0.552,34.4,110.7,111.7,111.7,107.5,108.2,108.2,3.3,3.5,3.5,0.128,1.63,15.0,0.016,0.061,0.039,9.2,9.2,0.57,0.597,0.204,0.208,99.16,98.41,82.01,98.41,0.098,4729,440,908,6.6,13.6,0.485,7,7,12,14,1,4,4,4,3,6,6,4,4,4,10,8,11,14,17,16,5,5,3,3,6,6,9,13,13,8,4,4,2,1,6,2017-18
4,1627750,Jamal Murray,Jamal,1610612743,DEN,21.0,81,46,35,0.568,31.7,113.0,113.9,113.9,109.7,110.2,110.2,3.3,3.7,3.7,0.159,1.59,17.1,0.033,0.087,0.06,10.8,10.6,0.529,0.576,0.223,0.231,98.37,97.75,81.46,97.75,0.096,5237,479,1062,5.9,13.1,0.451,1,1,17,9,5,1,2,2,10,13,13,3,3,3,6,9,8,9,14,10,13,12,7,6,3,3,14,16,16,9,2,1,3,3,11,2017-18
5,1627823,Juancho Hernangomez,Juancho,1610612743,DEN,22.0,25,15,10,0.6,11.1,106.8,105.1,105.1,111.2,109.2,109.2,-4.4,-4.2,-4.2,0.06,1.33,11.9,0.062,0.139,0.098,8.9,8.9,0.48,0.511,0.134,0.138,97.72,99.44,82.86,99.44,0.061,574,29,75,1.2,3.0,0.387,14,14,4,5,13,11,11,11,13,10,10,12,12,12,16,13,16,5,6,7,4,4,16,14,15,15,17,9,9,13,14,14,15,13,17,2017-18
6,202702,Kenneth Faried,Kenneth,1610612743,DEN,28.0,32,16,16,0.5,14.4,103.9,103.2,103.2,108.6,108.1,108.1,-4.6,-5.0,-5.0,0.064,0.78,8.5,0.135,0.193,0.162,10.8,10.9,0.514,0.552,0.173,0.178,98.15,98.71,82.26,98.71,0.108,950,76,148,2.4,4.6,0.514,12,13,7,17,12,14,13,13,7,4,4,13,13,13,15,16,17,1,3,2,14,14,11,10,9,10,15,11,11,5,10,12,11,11,3,2017-18
7,1627736,Malik Beasley,Malik,1610612743,DEN,21.0,62,34,28,0.548,9.4,106.3,104.3,104.3,107.3,105.3,105.3,-1.1,-1.0,-1.0,0.077,1.29,12.6,0.023,0.095,0.058,9.8,9.7,0.489,0.509,0.151,0.159,100.98,102.96,85.8,102.96,0.06,1243,73,178,1.2,2.9,0.41,8,8,11,15,14,12,12,12,2,1,1,8,10,10,14,14,13,11,12,12,8,8,14,15,12,12,4,3,3,14,11,10,14,14,14,2017-18
8,203486,Mason Plumlee,Mason,1610612743,DEN,28.0,74,40,34,0.541,19.5,107.1,107.5,107.5,108.8,108.2,108.2,-1.7,-0.7,-0.7,0.145,1.39,20.6,0.092,0.182,0.138,14.8,14.8,0.601,0.586,0.161,0.166,99.89,99.99,83.32,99.99,0.098,2984,221,368,3.0,5.0,0.601,4,6,16,16,8,10,10,10,8,5,5,9,8,8,7,12,7,2,4,3,17,17,2,5,11,11,6,8,8,7,7,8,9,10,2,2017-18
9,1628420,Monte Morris,Monte,1610612743,DEN,23.0,3,2,1,0.667,8.4,102.8,100.0,100.0,112.6,114.8,114.8,-9.9,-14.8,-14.8,0.368,7.0,46.7,0.0,0.08,0.041,6.7,6.7,0.667,0.727,0.136,0.139,103.04,103.46,86.22,103.46,0.167,55,4,6,1.3,2.0,0.667,17,17,2,2,15,15,15,15,16,17,17,15,17,17,1,1,1,17,15,15,2,2,1,1,14,14,1,2,2,2,17,17,13,16,1,2017-18
10,203999,Nikola Jokic,Nikola,1610612743,DEN,23.0,75,43,32,0.573,32.6,112.6,114.0,114.0,108.0,107.8,107.8,4.6,6.2,6.2,0.286,2.18,25.3,0.081,0.254,0.168,11.6,11.6,0.554,0.603,0.238,0.242,98.04,97.52,81.27,97.52,0.169,4983,504,1010,6.7,13.5,0.499,3,3,13,7,3,2,1,1,4,2,2,1,1,1,2,5,3,3,1,1,15,15,5,2,1,1,16,17,17,1,1,3,1,2,4,2017-18
11,200794,Paul Millsap,Paul,1610612743,DEN,33.0,38,22,16,0.579,30.1,111.1,111.8,111.8,107.0,107.8,107.8,4.1,3.9,3.9,0.139,1.44,15.4,0.058,0.153,0.107,10.7,10.7,0.509,0.549,0.217,0.222,98.74,98.06,81.72,98.06,0.105,2340,202,435,5.3,11.4,0.464,11,10,7,6,6,3,3,3,1,3,3,2,2,2,8,11,10,6,5,5,12,13,12,11,4,4,12,15,15,6,8,7,5,5,8,2017-18
12,2210,Richard Jefferson,Richard,1610612743,DEN,38.0,20,10,10,0.5,8.2,98.1,97.1,97.1,111.9,110.3,110.3,-13.8,-13.2,-13.2,0.135,3.0,30.0,0.011,0.099,0.052,10.0,10.0,0.481,0.499,0.089,0.094,98.83,100.04,83.37,100.04,0.047,342,12,27,0.6,1.4,0.444,15,16,4,17,16,18,17,17,14,14,14,17,16,16,9,2,2,15,11,14,10,10,15,17,17,17,10,6,6,16,16,16,17,17,13,2017-18
13,1628470,Torrey Craig,Torrey,1610612743,DEN,27.0,39,22,17,0.564,16.1,109.4,108.0,108.0,111.1,110.9,110.9,-1.8,-2.9,-2.9,0.054,1.25,12.8,0.064,0.134,0.1,10.2,10.1,0.515,0.535,0.116,0.122,99.3,100.03,83.35,100.03,0.056,1300,62,137,1.6,3.5,0.453,10,10,9,11,11,7,9,9,12,15,15,10,11,11,17,15,12,4,7,6,11,11,10,13,16,16,8,7,7,15,13,13,12,12,9,2017-18
14,1626168,Trey Lyles,Trey,1610612743,DEN,22.0,73,41,32,0.562,19.1,108.1,108.2,108.2,109.0,108.4,108.4,-0.9,-0.2,-0.2,0.105,1.49,11.9,0.039,0.215,0.125,8.0,8.0,0.566,0.591,0.205,0.211,98.77,98.97,82.48,98.97,0.128,2873,270,550,3.7,7.5,0.491,6,4,13,12,9,9,8,8,9,7,7,7,7,7,11,10,15,8,2,4,3,3,4,4,5,5,11,10,10,3,6,6,7,8,5,2017-18
15,1628399,Tyler Lydon,Tyler,1610612743,DEN,22.0,1,1,0,1.0,2.2,104.2,75.0,75.0,225.0,225.0,225.0,-120.8,-150.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.21,88.62,73.85,88.62,0.0,4,0,0,0.0,0.0,0.0,18,18,1,1,18,13,18,18,18,18,18,18,18,18,18,18,18,17,18,18,1,1,18,18,18,18,18,18,18,18,18,18,18,18,18,2017-18
16,203115,Will Barton,Will,1610612743,DEN,27.0,81,46,35,0.568,33.1,109.1,110.7,110.7,108.5,108.6,108.6,0.7,2.1,2.1,0.185,2.22,20.7,0.026,0.126,0.075,9.3,9.3,0.528,0.562,0.201,0.206,99.36,98.63,82.19,98.63,0.109,5517,465,1028,5.7,12.7,0.452,1,1,17,9,2,8,6,6,6,8,8,6,5,5,4,4,6,10,9,9,6,6,8,8,7,7,7,12,12,4,3,2,4,4,10,2017-18
17,201163,Wilson Chandler,Wilson,1610612743,DEN,31.0,74,41,33,0.554,31.7,109.7,110.5,110.5,108.4,109.1,109.1,1.2,1.4,1.4,0.094,1.73,17.1,0.044,0.127,0.085,9.9,9.9,0.515,0.542,0.142,0.144,98.72,98.1,81.75,98.1,0.071,4790,281,631,3.8,8.5,0.445,4,4,15,13,4,6,7,7,5,9,9,5,6,6,13,6,9,7,8,8,9,9,9,12,13,13,13,14,14,11,5,5,6,6,12,2017-18
0,202087,Alonzo Gee,Alonzo,1610612743,DEN,30.0,13,4,9,0.308,6.9,107.8,104.2,104.2,106.3,103.3,103.3,1.4,0.9,0.9,0.092,1.5,21.4,0.043,0.11,0.077,14.3,14.3,0.214,0.306,0.103,0.108,104.33,107.63,89.69,107.63,0.008,191,3,14,0.2,1.1,0.214,16,17,4,17,16,12,16,16,2,3,3,4,7,7,15,10,6,10,13,12,16,16,19,19,18,18,1,2,2,19,17,17,19,17,19,2016-17
1,201568,Danilo Gallinari,Danilo,1610612743,DEN,28.0,63,31,32,0.492,33.9,112.1,113.9,113.9,109.4,110.5,110.5,2.7,3.4,3.4,0.09,1.65,11.9,0.018,0.13,0.075,7.2,7.2,0.531,0.622,0.198,0.2,100.53,99.27,82.73,99.27,0.114,4417,335,750,5.3,11.9,0.447,5,5,13,8,1,4,4,4,8,11,11,3,3,3,16,7,14,17,11,13,2,2,12,4,8,8,11,19,19,4,3,3,4,2,12,2016-17
2,201589,Darrell Arthur,Darrell,1610612743,DEN,29.0,41,20,21,0.488,15.6,108.4,108.2,108.2,108.8,109.7,109.7,-0.4,-1.5,-1.5,0.099,1.17,13.9,0.038,0.133,0.086,11.9,11.9,0.565,0.583,0.176,0.18,99.86,99.56,82.97,99.56,0.077,1323,95,215,2.3,5.2,0.442,12,11,8,9,12,11,13,13,7,8,8,8,12,12,12,13,12,11,10,11,12,12,6,10,13,12,19,16,16,14,13,12,12,12,15,2016-17
3,1626144,Emmanuel Mudiay,Emmanuel,1610612743,DEN,21.0,55,25,30,0.455,25.6,106.8,108.6,108.6,112.3,113.3,113.3,-5.5,-4.7,-4.7,0.222,1.76,22.5,0.02,0.104,0.062,12.7,12.8,0.428,0.483,0.222,0.224,101.93,100.64,83.87,100.64,0.074,2950,208,551,3.8,10.0,0.377,10,10,12,13,7,15,12,12,16,16,16,16,16,16,5,5,5,16,14,15,13,13,18,18,2,2,5,9,9,17,9,8,6,6,18,2016-17
4,203914,Gary Harris,Gary,1610612743,DEN,22.0,57,29,28,0.509,31.3,115.0,116.1,116.1,114.0,113.9,113.9,1.0,2.2,2.2,0.129,2.16,17.6,0.027,0.076,0.051,8.1,8.1,0.586,0.611,0.183,0.185,100.41,99.98,83.32,99.98,0.091,3713,320,637,5.6,11.2,0.502,9,8,10,5,2,2,2,2,17,17,17,6,6,6,10,2,10,14,18,17,3,3,4,5,9,10,14,11,11,9,4,6,3,4,7,2016-17
5,1627750,Jamal Murray,Jamal,1610612743,DEN,20.0,82,40,42,0.488,21.5,109.1,110.2,110.2,108.1,108.0,108.0,1.0,2.2,2.2,0.142,1.5,16.1,0.023,0.095,0.059,10.7,10.6,0.483,0.518,0.212,0.216,101.14,100.7,83.91,100.7,0.078,3700,295,730,3.6,8.9,0.404,1,1,19,9,9,9,9,9,4,5,5,7,5,5,9,9,11,15,15,16,9,9,17,16,6,6,7,8,8,13,5,4,9,7,16,2016-17
6,2749,Jameer Nelson,Jameer,1610612743,DEN,35.0,75,34,41,0.453,27.3,110.8,112.5,112.5,109.7,109.6,109.6,1.1,2.9,2.9,0.258,3.01,33.7,0.013,0.08,0.046,11.2,11.2,0.531,0.544,0.156,0.157,100.07,99.39,82.82,99.39,0.075,4237,268,604,3.6,8.1,0.444,2,4,18,14,6,6,5,5,9,7,7,5,4,4,3,1,3,19,16,19,10,10,11,14,14,15,17,18,18,15,7,7,10,8,13,2016-17
7,203950,Jarnell Stokes,Jarnell,1610612743,DEN,23.0,2,0,2,0.0,3.3,115.3,114.3,114.3,118.3,114.3,114.3,-3.1,0.0,0.0,0.4,0.0,50.0,0.1,0.143,0.118,0.0,0.0,1.0,0.798,0.111,0.111,100.5,102.7,85.58,102.7,0.121,14,1,1,0.5,0.5,1.0,19,19,2,19,18,1,3,3,18,18,18,13,8,8,1,19,1,6,9,7,1,1,1,1,17,17,12,6,6,3,19,19,16,18,1,2016-17
9,1627823,Juancho Hernangomez,Juancho,1610612743,DEN,21.0,62,30,32,0.484,13.6,107.7,107.9,107.9,111.3,110.1,110.1,-3.6,-2.2,-2.2,0.048,0.94,9.2,0.047,0.171,0.107,9.8,9.8,0.554,0.592,0.139,0.144,101.03,101.51,84.59,101.51,0.086,1783,101,224,1.6,3.6,0.451,6,7,13,11,13,14,14,14,12,10,10,15,15,15,19,15,17,8,6,8,8,8,7,7,16,16,8,7,7,11,11,11,13,13,11,2016-17
11,202702,Kenneth Faried,Kenneth,1610612743,DEN,27.0,61,29,32,0.475,21.2,109.0,110.7,110.7,112.1,112.3,112.3,-3.0,-1.7,-1.7,0.064,0.93,9.0,0.135,0.218,0.175,9.6,9.6,0.548,0.588,0.179,0.181,100.83,99.95,83.29,99.95,0.124,2692,228,416,3.7,6.8,0.548,7,8,13,12,10,10,8,8,15,15,15,12,13,13,18,16,19,1,3,2,7,7,8,8,11,11,9,12,12,2,8,9,7,9,4,2016-17
12,1627736,Malik Beasley,Malik,1610612743,DEN,20.0,22,12,10,0.545,7.5,111.0,109.9,109.9,96.0,94.4,94.4,15.0,15.5,15.5,0.098,1.38,11.3,0.032,0.064,0.05,8.2,8.3,0.514,0.536,0.216,0.222,103.72,105.09,87.57,105.09,0.086,362,33,73,1.5,3.3,0.452,14,14,5,3,15,5,10,10,1,1,1,1,1,1,13,11,15,13,19,18,4,4,14,15,5,4,2,4,4,10,14,14,14,14,10,2016-17
13,203486,Mason Plumlee,Mason,1610612743,DEN,27.0,27,15,12,0.556,23.4,109.8,110.8,110.8,111.9,111.2,111.2,-2.1,-0.4,-0.4,0.158,1.52,21.1,0.079,0.185,0.133,13.9,13.9,0.547,0.571,0.177,0.179,99.96,99.86,83.21,99.86,0.098,1308,99,181,3.7,6.7,0.547,13,13,7,2,8,8,7,7,14,13,13,10,9,9,8,8,7,7,5,5,15,15,9,11,12,13,18,13,13,7,12,13,8,10,5,2016-17
14,2034,Mike Miller,Mike,1610612743,DEN,37.0,20,9,11,0.45,7.5,105.5,104.6,104.6,108.7,105.4,105.4,-3.3,-0.9,-0.9,0.195,1.69,37.3,0.014,0.243,0.129,22.0,22.1,0.565,0.586,0.102,0.104,103.18,105.22,87.68,105.22,0.084,329,9,23,0.5,1.2,0.391,15,15,6,15,14,17,15,15,6,4,4,14,10,10,6,6,2,18,2,6,19,19,5,9,19,19,3,3,3,12,15,15,17,16,17,2016-17
15,203999,Nikola Jokic,Nikola,1610612743,DEN,22.0,73,37,36,0.507,27.9,114.9,116.3,116.3,109.8,109.7,109.7,5.1,6.5,6.5,0.266,2.1,24.2,0.106,0.248,0.178,11.5,11.5,0.605,0.64,0.231,0.234,100.78,100.23,83.52,100.23,0.167,4264,494,854,6.8,11.7,0.578,3,2,16,6,5,3,1,1,10,9,9,2,2,2,2,4,4,4,1,1,11,11,3,3,1,1,10,10,10,1,1,2,1,3,3,2016-17
16,201579,Roy Hibbert,Roy,1610612743,DEN,30.0,6,5,1,0.833,1.8,64.0,53.8,53.8,107.1,100.0,100.0,-43.2,-46.2,-46.2,0.25,1.0,20.0,0.111,0.077,0.091,20.0,20.0,0.667,0.667,0.143,0.168,102.56,115.46,96.22,115.46,0.07,26,2,3,0.3,0.5,0.667,18,16,1,1,19,19,19,19,3,2,2,19,19,19,4,14,8,2,17,10,18,18,2,2,15,14,4,1,1,18,18,18,18,18,2,2016-17
17,203115,Will Barton,Will,1610612743,DEN,26.0,60,31,29,0.517,28.4,107.7,108.8,108.8,110.6,111.0,111.0,-2.9,-2.1,-2.1,0.185,2.12,19.7,0.032,0.12,0.075,9.3,9.2,0.508,0.547,0.207,0.211,100.14,99.46,82.88,99.46,0.102,3531,295,666,4.9,11.1,0.443,8,5,11,4,4,13,11,11,11,12,12,11,14,14,7,3,9,12,12,14,6,6,15,12,7,7,15,17,17,6,5,5,5,5,14,2016-17
18,201163,Wilson Chandler,Wilson,1610612743,DEN,30.0,71,35,36,0.493,30.9,110.1,111.1,111.1,111.8,112.1,112.1,-1.7,-1.0,-1.0,0.097,1.24,11.1,0.046,0.162,0.103,9.0,8.9,0.52,0.545,0.217,0.221,100.42,99.83,83.19,99.83,0.098,4573,433,939,6.1,13.2,0.461,4,3,16,7,3,7,6,6,13,14,14,9,11,11,14,12,16,9,8,9,5,5,13,13,4,5,13,14,14,8,2,1,2,1,9,2016-17
0,1626253,Axel Toupane,Axel,1610612743,DEN,23.0,21,9,12,0.429,14.5,107.6,108.2,108.2,109.7,110.4,110.4,-2.1,-2.2,-2.2,0.068,2.5,15.3,0.028,0.076,0.053,6.1,6.1,0.45,0.49,0.122,0.125,97.01,96.42,80.35,96.42,0.029,612,25,70,1.2,3.3,0.357,16,15,3,3,15,2,2,2,17,18,18,8,7,7,17,2,8,8,16,15,2,2,13,13,17,17,16,16,16,19,15,15,15,15,16,2015-16
1,201571,D.J. Augustin,D.J.,1610612743,DEN,28.0,28,11,17,0.393,23.5,107.0,108.7,108.7,108.9,109.2,109.2,-1.9,-0.5,-0.5,0.311,2.44,29.0,0.005,0.074,0.04,11.9,11.8,0.541,0.601,0.213,0.216,99.15,98.29,81.91,98.29,0.12,1346,102,229,3.6,8.2,0.445,13,13,6,11,7,3,1,1,15,14,14,6,3,3,1,3,4,18,17,18,14,14,2,1,6,6,3,5,5,5,11,12,7,6,8,2015-16
2,201568,Danilo Gallinari,Danilo,1610612743,DEN,27.0,53,22,31,0.415,34.7,103.4,105.0,105.0,106.8,107.8,107.8,-3.5,-2.8,-2.8,0.122,1.75,12.2,0.027,0.127,0.075,7.0,7.0,0.472,0.582,0.226,0.228,98.45,97.26,81.05,97.26,0.124,3727,287,700,5.4,13.2,0.41,9,8,11,6,1,8,6,6,11,11,11,9,9,9,10,7,13,10,10,9,3,3,12,3,3,4,7,11,11,4,6,4,1,2,11,2015-16
3,201589,Darrell Arthur,Darrell,1610612743,DEN,28.0,70,26,44,0.371,21.7,101.4,102.2,102.2,103.5,104.0,104.0,-2.1,-1.8,-1.8,0.102,1.45,14.2,0.055,0.132,0.093,9.8,9.8,0.498,0.514,0.165,0.168,98.24,97.63,81.36,97.63,0.079,3085,221,489,3.2,7.0,0.452,4,5,16,15,8,13,12,12,5,5,5,7,5,5,11,11,10,6,8,7,7,7,9,10,11,11,10,8,8,9,7,7,9,10,7,2015-16
4,1626144,Emmanuel Mudiay,Emmanuel,1610612743,DEN,20.0,68,29,39,0.426,30.4,103.3,104.7,104.7,107.1,107.9,107.9,-3.7,-3.1,-3.1,0.281,1.71,23.4,0.015,0.097,0.055,13.7,13.7,0.404,0.437,0.25,0.253,99.36,98.31,81.93,98.31,0.068,4242,329,905,4.8,13.3,0.364,5,4,14,4,3,9,7,7,12,12,12,11,10,10,3,8,5,15,13,13,16,16,18,18,2,2,2,4,4,12,4,2,4,1,15,2015-16
5,203475,Erick Green,Erick,1610612743,DEN,25.0,3,1,2,0.333,2.5,113.6,93.8,93.8,94.9,93.3,93.3,18.8,0.4,0.4,0.2,0.0,50.0,0.0,0.2,0.091,0.0,0.0,0.0,0.0,0.059,0.07,89.87,99.64,83.04,99.64,0.038,16,0,1,0.0,0.3,0.0,19,19,1,17,19,1,19,19,1,1,1,1,2,2,4,19,1,19,5,8,1,1,19,19,19,19,19,2,2,18,19,19,19,19,19,2015-16
6,203914,Gary Harris,Gary,1610612743,DEN,21.0,76,31,45,0.408,32.1,103.5,105.1,105.1,108.6,109.2,109.2,-5.1,-4.1,-4.1,0.093,1.5,13.8,0.021,0.069,0.044,9.2,9.2,0.538,0.566,0.16,0.163,98.63,97.57,81.31,97.57,0.076,4953,359,765,4.7,10.1,0.469,3,2,17,7,2,7,5,5,14,15,15,15,14,14,13,9,12,13,18,17,4,4,3,6,13,13,5,9,9,10,2,3,5,4,6,2015-16
8,203960,JaKarr Sampson,JaKarr,1610612743,DEN,23.0,26,11,15,0.423,18.0,102.3,103.9,103.9,106.6,107.2,107.2,-4.2,-3.3,-3.3,0.05,0.84,9.9,0.033,0.091,0.062,11.7,11.8,0.504,0.532,0.137,0.137,97.89,96.89,80.74,96.89,0.047,934,54,115,2.1,4.4,0.47,14,13,5,5,11,11,9,9,10,10,10,12,12,12,19,15,16,7,14,12,13,13,8,9,16,16,12,13,13,14,14,13,14,14,5,2015-16
9,2749,Jameer Nelson,Jameer,1610612743,DEN,34.0,39,12,27,0.308,26.6,101.3,102.5,102.5,108.4,109.5,109.5,-7.0,-7.1,-7.1,0.287,2.88,32.9,0.017,0.097,0.055,11.4,11.4,0.438,0.464,0.163,0.166,96.64,95.59,79.66,95.59,0.07,2069,113,307,2.9,7.9,0.368,11,12,10,18,5,14,11,11,13,16,16,17,17,17,2,1,3,14,12,14,12,12,15,15,12,12,17,18,18,11,10,10,11,7,13,2015-16
10,203530,Joffrey Lauvergne,Joffrey,1610612743,DEN,24.0,59,24,35,0.407,17.6,100.1,101.0,101.0,109.8,110.8,110.8,-9.7,-9.8,-9.8,0.093,1.04,10.7,0.073,0.204,0.138,10.4,10.4,0.53,0.567,0.196,0.199,97.61,96.72,80.6,96.72,0.114,2091,195,380,3.3,6.4,0.513,7,7,13,9,12,16,13,13,18,19,19,18,18,18,12,12,14,4,3,4,9,9,5,5,8,8,13,14,14,6,8,8,8,11,2,2015-16
11,203994,Jusuf Nurkic,Jusuf,1610612743,DEN,21.0,32,14,18,0.438,17.1,103.8,104.7,104.7,105.1,105.3,105.3,-1.3,-0.6,-0.6,0.123,0.73,10.5,0.113,0.2,0.155,14.4,14.5,0.417,0.46,0.266,0.272,98.31,97.83,81.52,97.83,0.085,1115,101,242,3.2,7.6,0.417,12,11,7,2,13,6,8,8,7,7,7,5,4,4,9,18,15,2,6,3,18,18,17,16,1,1,9,7,7,8,12,11,10,8,10,2015-16
12,202702,Kenneth Faried,Kenneth,1610612743,DEN,26.0,67,26,41,0.388,25.3,104.7,106.5,106.5,109.1,110.0,110.0,-4.3,-3.5,-3.5,0.077,0.87,8.9,0.132,0.21,0.17,10.2,10.2,0.558,0.577,0.203,0.207,98.14,96.9,80.75,96.9,0.126,3425,349,626,5.2,9.3,0.558,6,5,15,12,6,4,3,3,16,17,17,14,13,13,15,14,19,1,2,1,8,8,1,4,7,7,11,12,12,2,3,5,2,5,1,2015-16
13,203123,Kostas Papanikolaou,Kostas,1610612743,DEN,25.0,26,8,18,0.308,11.3,98.6,97.9,97.9,98.7,100.3,100.3,-0.2,-2.4,-2.4,0.077,0.76,14.5,0.027,0.107,0.067,19.1,19.2,0.439,0.464,0.141,0.145,94.93,94.44,78.7,94.44,0.044,581,24,66,0.9,2.5,0.364,14,16,7,18,16,17,17,17,2,2,2,3,8,8,16,16,9,9,11,10,19,19,14,14,15,15,18,19,19,16,16,16,17,17,14,2015-16
14,2034,Mike Miller,Mike,1610612743,DEN,36.0,47,21,26,0.447,7.9,96.1,95.3,95.3,110.4,109.2,109.2,-14.2,-13.9,-13.9,0.159,2.35,33.6,0.014,0.127,0.067,14.3,14.3,0.508,0.508,0.089,0.092,98.54,99.55,82.96,99.55,0.045,782,22,62,0.5,1.3,0.355,10,10,9,1,18,19,18,18,19,13,13,19,19,19,7,4,2,16,9,11,17,17,6,11,18,18,6,3,3,15,17,17,18,18,17,2015-16
15,203999,Nikola Jokic,Nikola,1610612743,DEN,21.0,80,31,49,0.388,21.7,104.2,105.5,105.5,102.9,103.1,103.1,1.3,2.4,2.4,0.176,1.82,19.4,0.099,0.223,0.159,10.7,10.6,0.535,0.582,0.194,0.198,97.2,96.5,80.41,96.5,0.145,3488,307,600,3.8,7.5,0.512,2,2,18,13,9,5,4,4,4,4,4,2,1,1,5,6,7,3,1,2,10,10,4,2,9,9,15,15,15,1,5,6,6,9,3,2015-16
18,203115,Will Barton,Will,1610612743,DEN,25.0,82,33,49,0.402,28.7,102.4,103.7,103.7,105.8,106.8,106.8,-3.5,-3.1,-3.1,0.147,1.46,14.1,0.024,0.177,0.099,9.7,9.6,0.489,0.535,0.226,0.231,98.32,97.27,81.06,97.27,0.125,4778,425,983,5.2,12.0,0.432,1,1,18,10,4,10,10,10,9,9,9,10,11,11,8,10,11,11,7,6,6,6,10,8,4,3,8,10,10,3,1,1,3,3,9,2015-16
